PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,2,female,59.2,0,0,11.4,C
2,1,3,female,20.5,2,0,8.95,S
3,0,3,male,39.4,0,0,6.21,S
4,1,3,female,,0,0,10.72,S
5,0,1,male,47.2,0,0,41.48,S
6,0,1,male,50.9,0,0,37.37,C
7,1,1,female,29.4,0,0,84.72,S
8,0,3,male,18.5,0,2,10.97,S
9,0,3,male,,0,2,7.7,C
10,0,3,male,19.5,1,0,13.22,C
11,0,1,male,57.2,0,0,83.01,S
12,0,3,male,30.9,0,0,4.0,S
13,0,3,male,23.9,0,0,10.61,S
14,1,1,male,,0,0,36.57,C
15,1,1,female,,0,0,4.0,C
16,1,1,female,15.4,2,1,105.67,S
17,0,2,male,45.8,0,2,6.15,S
18,0,3,male,19.8,0,0,22.82,C
19,0,2,male,14.3,1,0,29.97,S
20,0,2,male,36.5,0,0,12.7,S
21,0,3,male,45.6,0,0,9.31,C
22,0,1,male,39.1,1,0,132.95,S
23,1,2,male,42.9,1,0,20.24,S
24,1,2,male,,0,1,17.36,C
25,0,3,male,9.1,0,0,4.0,C
26,0,3,male,,0,0,11.42,S
27,1,1,female,24.5,1,0,81.01,S
28,1,3,female,25.5,0,0,14.14,S
29,0,3,male,47.6,0,0,13.08,S
30,1,1,female,36.8,1,1,67.02,S
31,0,3,male,35.4,0,0,12.13,C
32,1,1,female,59.3,1,0,73.08,S
33,1,1,female,20.0,0,0,126.18,S
34,0,3,male,,0,0,20.41,S
35,0,3,male,29.8,0,1,14.83,Q
36,0,3,male,32.8,1,0,26.84,S
37,0,2,male,,0,1,4.47,S
38,0,1,male,36.1,0,0,94.48,S
39,0,3,male,36.5,0,0,27.65,S
40,0,2,male,44.0,1,0,16.18,S
41,1,1,female,23.9,2,0,191.39,S
42,0,3,female,,0,0,5.99,S
43,0,1,male,14.4,0,1,110.43,S
44,0,3,male,1.5,2,0,4.0,S
45,1,2,male,57.8,0,0,4.0,S
46,0,3,male,13.6,0,0,10.88,S
47,1,2,female,25.9,0,0,20.84,S
48,0,3,male,25.1,1,0,8.49,S
49,0,3,male,33.3,0,0,16.32,S
50,0,1,male,40.4,0,0,47.65,S
51,0,3,male,,0,0,31.19,S
52,1,3,female,20.8,0,0,11.08,S
53,1,3,female,,0,0,13.07,S
54,0,3,male,33.0,0,0,26.24,Q
55,0,3,male,25.5,0,0,8.31,C
56,0,3,male,51.5,0,3,26.34,S
57,1,1,female,35.9,0,0,101.8,S
58,1,1,female,,1,0,70.0,S
59,0,1,male,38.3,1,0,44.16,S
60,0,2,male,45.4,1,0,17.12,S
61,1,2,female,31.5,0,1,18.8,S
62,0,2,male,10.8,0,0,27.4,S
63,1,3,female,34.6,0,2,4.0,C
64,0,2,male,19.9,2,2,9.58,S
65,1,2,male,21.6,1,0,7.67,C
